Rodada,Time,Posicao,Pontos,Jogos,Vitorias,Empates,Derrotas,GP,GC,SG
12,Internacional,5,20,11,6,2,3,11,8,3
12,Cruzeiro,6,20,11,6,2,3,15,14,1
12,Athletico-PR,7,19,12,5,4,3,15,10,5
12,São Paulo,8,18,12,5,3,4,17,14,3
12,Bragantino,9,18,12,5,3,4,16,14,2
12,Fortaleza,10,18,12,4,6,2,12,12,0
12,Atlético-MG,11,17,11,4,5,2,17,15,2
12,Juventude,12,16,12,4,4,4,15,17,-2
12,Criciúma,13,13,11,3,4,4,18,19,-1
12,Cuiabá,14,12,12,3,3,6,13,16,-3
12,Vitória,15,12,12,3,3,6,14,19,-5
12,Vasco,16,10,12,3,1,8,12,24,-12
12,Atlético-GO,17,10,12,2,4,6,10,15,-5
12,Corinthians,18,9,12,1,6,5,9,13,-4
12,Grêmio,19,7,10,2,1,7,7,12,-5
12,Fluminense,20,6,12,1,3,8,10,20,-10
11,Flamengo,1,24,11,7,3,1,19,9,10
11,Palmeiras,2,23,11,7,2,2,16,6,10
11,Bahia,3,21,11,6,3,2,18,12,6
11,Botafogo,4,20,11,6,2,3,18,11,7
11,Internacional,5,20,10,6,2,2,10,6,4
11,Athletico-PR,6,19,11,5,4,2,15,8,7
11,Bragantino,7,18,11,5,3,3,15,12,3
11,Cruzeiro,8,17,10,5,2,3,13,14,-1
11,São Paulo,9,15,11,4,3,4,15,13,2
11,Fortaleza,10,15,11,3,6,2,9,12,-3
11,Atlético-MG,11,14,10,3,5,2,15,14,1
11,Criciúma,12,13,10,3,4,3,17,17,0
11,Juventude,13,13,11,3,4,4,13,16,-3
11,Cuiabá,14,11,11,3,2,6,12,15,-3
11,Vasco,15,10,11,3,1,7,11,22,-11
11,Atlético-GO,16,9,11,2,3,6,9,14,-5
11,Vitória,17,9,11,2,3,6,13,19,-6
11,Corinthians,18,8,11,1,5,5,8,12,-4
11,Grêmio,19,6,9,2,0,7,6,11,-5
11,Fluminense,20,6,11,1,3,7,10,19,-9
10,Flamengo,1,21,10,6,3,1,18,9,9
10,Botafogo,2,20,10,6,2,2,17,9,8
10,Palmeiras,3,20,10,6,2,2,13,5,8
10,Athletico-PR,4,18,10,5,3,2,14,7,7
10,Bahia,5,18,10,5,3,2,14,11,3
10,Internacional,6,17,9,5,2,2,9,6,3
10,Cruzeiro,7,17,9,5,2,2,12,10,2
10,São Paulo,8,15,10,4,3,3,14,9,5
10,Bragantino,9,15,10,4,3,3,13,11,2
10,Fortaleza,10,14,10,3,5,2,8,11,-3
10,Atlético-MG,11,13,9,3,4,2,14,13,1
10,Juventude,12,13,10,3,4,3,12,13,-1
10,Cuiabá,13,10,10,3,1,6,12,15,-3
10,Criciúma,14,10,9,2,4,3,15,16,-1
10,Vitória,15,9,10,2,3,5,12,17,-5
10,Atlético-GO,16,8,10,2,2,6,9,14,-5
10,Vasco,17,7,10,2,1,7,7,21,-14
10,Corinthians,18,7,10,1,4,5,7,11,-4
10,Grêmio,19,6,8,2,0,6,6,10,-4
10,Fluminense,20,6,10,1,3,6,10,18,-8
9,Botafogo,1,19,9,6,1,2,16,8,8
9,Flamengo,2,18,9,5,3,1,16,8,8
9,Bahia,3,18,9,5,3,1,13,9,4
9,Athletico-PR,4,17,9,5,2,2,13,6,7
9,Palmeiras,5,17,9,5,2,2,11,4,7
9,São Paulo,6,15,9,4,3,2,14,8,6
9,Bragantino,7,15,9,4,3,2,12,9,3
9,Internacional,8,14,8,4,2,2,8,6,2
9,Cruzeiro,9,14,8,4,2,2,10,10,0
9,Atlético-MG,10,13,8,3,4,1,12,9,3
9,Fortaleza,11,11,9,2,5,2,7,11,-4
9,Juventude,12,10,9,2,4,3,10,13,-3
9,Atlético-GO,13,8,9,2,2,5,8,12,-4
9,Cuiabá,14,7,9,2,1,6,11,15,-4
9,Vasco,15,7,9,2,1,6,7,19,-12
9,Criciúma,16,7,8,1,4,3,13,15,-2
9,Corinthians,17,7,9,1,4,4,7,10,-3
9,Grêmio,18,6,7,2,0,5,6,9,-3
9,Fluminense,19,6,9,1,3,5,10,16,-6
9,Vitória,20,6,9,1,3,5,8,15,-7
8,Flamengo,1,17,8,5,2,1,15,7,8
8,Bahia,2,17,8,5,2,1,11,7,4
8,Botafogo,3,16,8,5,1,2,14,7,7
8,Athletico-PR,4,16,8,5,1,2,12,5,7
8,São Paulo,5,14,8,4,2,2,12,6,6
8,Internacional,6,14,7,4,2,1,7,4,3
8,Palmeiras,7,14,8,4,2,2,7,4,3
8,Cruzeiro,8,13,7,4,1,2,10,10,0
8,Atlético-MG,9,13,7,3,4,0,12,5,7
8,Bragantino,10,12,8,3,3,2,10,8,2
8,Fortaleza,11,11,8,2,5,1,7,6,1
8,Juventude,12,10,8,2,4,2,9,11,-2
8,Grêmio,13,6,6,2,0,4,5,7,-2
8,Vasco,14,6,8,2,0,6,7,19,-12
8,Criciúma,15,6,7,1,3,3,11,13,-2
8,Corinthians,16,6,8,1,3,4,5,8,-3
8,Fluminense,17,6,8,1,3,4,9,14,-5
8,Atlético-GO,18,5,8,1,2,5,6,11,-5
8,Cuiabá,19,4,8,1,1,6,6,15,-9
8,Vitória,20,3,8,0,3,5,6,14,-8
7,Flamengo,1,14,7,4,2,1,13,6,7
7,Bahia,2,14,7,4,2,1,10,7,3
7,Botafogo,3,13,7,4,1,2,13,7,6
7,São Paulo,4,13,7,4,1,2,12,6,6
7,Athletico-PR,5,13,7,4,1,2,9,4,5
7,Internacional,6,13,6,4,1,1,7,4,3
7,Bragantino,7,12,7,3,3,1,9,6,3
7,Palmeiras,8,11,7,3,2,2,5,4,1
